Date,'PI','PI less transfers','Real Consumption','M&T sales','Retail sales','IP: total','IP: products','IP: final prod','IP: cons gds','IP: cons dble','IP: cons nondble','IP: bus eqpt','IP: matls','IP: dble matls','IP: nondble matls','IP: mfg','IP: res util','IP: fuels','NAPM prodn ','Cap util','Help wanted indx','Help wanted/unemp','Emp CPS total','Emp CPS nonag','U: all','U: mean duration','U < 5 wks','U 5-14 wks','U 15+ wks ','U 15-26 wks','U 27+ wks','UI claims','Emp: total','Emp: gds prod','Emp: mining','Emp: const','Emp: mfg','Emp: dble gds','Emp: nondbles','Emp: services','Emp: TTU','Emp: wholesale','Emp: retail','Emp: FIRE','Emp: Govt','Agg wkly hours','Avg hrs ','Overtime: mfg','Avg hrs: mfg','NAPM empl','Housing Starts: nonfarm','Housing Starts: NE','Housing Starts: MW','Housing Starts: South','Housing Starts: West','BP: total','BP: NE','BP: MW','BP: South','BP: West','PMI','NAPM new ordrs','NAPM vendor del','NAPM Invent','Orders: cons gds','Orders: dble gds','Orders: cap gds','Unf orders: dble','M&T invent','M&T invent/sales','M1','M2','Currency','M2 (real)','MB','Reserves tot','Reserves nonbor','C&I loan plus','DC&I loans','Cons credit','Inst cred/PI','S&P 500','S&P: indust','S&P div yield','S&P PE ratio','Fed Funds','Comm paper','3 mo T-bill','6 mo T-bill','1 yr T-bond','5 yr T-bond','10 yr T-bond','Aaa bond','Baa bond','CP-FF spread','3 mo-FF spread','6 mo-FF spread','1 yr-FF spread','5 yr-FF spread','10 yr-FF spread','Aaa-FF spread','Baa-FF spread','Ex rate: avg','Ex rate: Switz','Ex rate: Japan','Ex rate: UK','EX rate: Canada','PPI: fin gds','PPI: cons gds','PPI: int mat’ls','PPI: crude mat’ls','Spot market price','PPI: nonferrous','NAPM com price','CPI-U: all','CPI-U: apparel','CPI-U: transp','CPI-U: medical','CPI-U: comm.','CPI-U: dbles','CPI-U: services','CPI-U: ex food','CPI-U: ex shelter','CPI-U: ex med','PCE defl','PCE defl: dlbes','PCE defl: nondble','PCE defl: service','AHE: goods','AHE: const','AHE: mfg','Consumer expect'
1959/7/1,0.00163681,0.000484121,0.014131231,-0.008907432,0.004234391,-0.009017996,-0.003427869,-0.001147173,0.001152141,-0.019968189,0.00915344,0.002143123,-0.016546811,-0.032088979,0.000436972,-0.01236569,0.037317279,0.010267495,52.4,-1.3687,-2,-0.1849,-0.014536724,-0.007723721,0.6,-0.1,0.152052043,0.079893909,0.131299415,0.230880534,0.025317808,0.11328938,-0.00551456,-0.011904292,-0.002463591,-0.057987258,-0.00368582,-0.006109671,-0.000156091,0.005057659,-0.000987477,0.001638917,-0.000717553,0.002789402,0.023619874,-0.139501349,-0.2,-0.1,-0.3,48,-0.304004402,-0.611104758,-0.62015882,-0.129140928,-0.101096117,-0.130385087,-0.334749583,-0.303430429,-0.110839981,0.102984815,47.8,52.2,28.8,50.7,-0.018304045,-0.010029937,-0.015845665,-0.022628361,0.009071838,0.021,-5.11E-07,0.002005009,0,0.002465495,0.001912364,0.009819983,0.019812131,-2.53E-05,0.2,0.002588954,0.09,-0.013718627,-0.015045504,0.1138,-0.021167831,-0.13,-0.0673,-0.65,-0.69,-0.64,-0.38,-0.24,-0.07,-0.09,0.5059,-0.53,-0.23,0.18,0.47,0.41,0.65,1.41,0.008159148,-0.000161396,0,0.000915647,-0.000840866,0.009022618,0.011976191,-0.003241494,0.009820046,0.006042314,-0.015037877,57.3,-0.001361007,-0.004405293,-0.003338901,-2.07E-05,0.005979078,-0.002600782,-1.77E-05,0,0,-0.003338901,-0.000331413,-0.002893447,0.000847165,-0.001226772,-2.01E-05,0.030131341,-0.004683849,-2
1959/8/1,0.003220323,0.003382299,0.015211614,0.006528542,0.026893039,-0.00796014,0.002285113,0.001147173,0.006878516,-0.001184053,0.010197415,-0.010772097,-0.023637092,-0.03652947,-0.008796748,-0.007950734,0.001220084,0.030187167,49.8,-0.9828,-1,0.003,0.019689533,0.012878499,-0.2,-0.4,0.04058187,-0.111330683,-0.067950662,-0.109866478,-0.020666637,-0.030935445,0.007482873,0.003761049,0.005354184,0.041807278,-0.003379997,-0.006363609,0.000936184,0.007977218,0.014445191,0.003010092,0.017239506,0.002781643,0.001055162,0.341510445,0.3,-0.4,0,42,0.150408016,0.400888441,0.335084311,0.085062439,-0.037155977,0.061917288,0.129759227,0.25542121,0.046520016,-0.096228032,45.3,52,28.9,45.5,0.006924571,-0.010771954,0.0419986,-0.017602477,-0.001988755,-0.01,-0.000716588,-0.000675259,0,-0.001451804,0.001353381,0.005428331,-0.007449658,0.007409978,0.5,0.00601105,0.12,0.012821846,0.012693747,-0.039,0.003858833,0.08,-0.3828,-0.08,-0.06,0.02,-0.02,0.03,-0.04,-0.05,0.0431,-0.69,-0.37,0.12,0.37,0.36,0.53,1.28,0.002789402,0.000438015,-0.001082056,0.001295734,0.012539349,-0.009022618,-0.011976191,-0.003241494,-0.006568011,0.019010077,0.012002974,60.4,0.004410525,0.002195391,0.003338901,-2.05E-05,-8.91E-06,-6.78E-06,-0.004192878,0,0.003210276,0.00332779,0.003241909,0.002321118,0.005316555,0.001840765,-0.00447428,-0.06807429,0,-2
1959/9/1,0.002126072,0.00207204,-0.020160333,-0.018769039,-0.026247908,-0.001139921,0.005692186,0.006868725,0.005698358,0.009453988,0.00337616,0.003245875,-0.009153844,-0.013621395,0.001560447,-0.005716689,-0.012268349,-0.027920308,45,-0.7882,0,0.015,0.001484669,0.00346575,-0.1,-0.7,-0.00984659,0.069391993,-0.117085734,-0.130770231,-0.102528746,0.072006344,-0.005156102,-0.003709432,-0.010299649,0.005643169,-0.005059411,-0.007930083,-0.000936184,-0.007606758,-0.010948527,-0.00115094,-0.01313846,0.001189768,-0.012024193,0.021134973,-0.1,0.3,0.1,42.5,-0.014062732,-0.013857035,0.034133006,-0.01731645,-0.055119299,0.034819765,0.169899037,-0.016529302,0.054435207,-0.037740328,42.6,45.8,32.3,42.5,-0.011252748,0.010930376,9.63E-05,-0.009984157,0.005234575,0.028,0.001431639,0.000326951,0,0.001769901,0.000319926,0.00944689,0.017419196,-0.002594431,0.4,-0.010668356,0.01,-0.009193395,-0.010481922,0.0383,-0.011262806,-0.07,0.1184,0.06,0.03,0.17,0.2,0.07,0.01,0.08,0.2315,-0.56,-0.27,0.36,0.64,0.5,0.61,1.43,0.003538932,-0.003278237,0.000721501,-0.001242632,0.015456258,0,0,0.003241494,-0.003252035,-0.015053593,0.003034904,57,-0.003395468,-4.81E-06,-0.003350087,-0.00451468,-0.002980628,-6.82E-06,0.004175371,0,-1.03E-05,-0.00332779,-0.002894156,-0.001051915,-0.006863234,-0.000156228,0,0.041619668,0,-2
1959/10/1,0.000271088,-0.000722317,-0.000353178,0.001956444,0.006626848,-0.012651512,-0.011416959,-0.01146978,-0.006839297,-0.010644647,-0.005634207,-0.013047198,-0.016220378,-0.032516306,0.00087625,-0.011532363,0.006152988,-0.004538869,48.5,-1.2475,-1,-0.0822,0.001678957,0.000889255,0.3,0,0.011574203,0.095817923,0.069076515,0.11560201,0.017834868,0.017760242,-0.002718723,-0.006940516,-0.005556382,-0.007309003,-0.007022998,-0.009974325,-0.002813821,0.000256392,-0.000895416,-0.001821934,-0.000375379,0.001979807,0,-0.123962284,-0.2,-0.2,-0.2,39.7,-0.019063326,-0.033099948,0.080558837,-0.11560201,0.026317308,-0.093600615,-0.241162057,-0.119346758,-0.057937837,-0.007017573,44.4,49.2,34.8,43.9,0.0086377,0.018947316,-0.008025958,-0.004502929,0.001079603,-0.001,0,0.001979687,0,0.004094399,0.000786567,-0.002614397,-0.007665878,0.002322729,0.5,0.00335233,0.1,0.036277093,0.037035092,-0.1198,0.034281502,-0.53,-0.3746,-0.83,-0.84,-0.85,-0.37,-0.2,-0.01,-0.02,0.3869,-0.86,-0.58,0.04,0.8,0.83,1.13,1.94,0.001008827,-0.002176028,0.002161384,-0.001187445,0.004488887,0,0,0.003241494,-0.013072082,-0.010890637,-0.009160369,52.6,0.000336751,-0.002190581,0.003350087,0,0,-6.85E-06,-0.004175371,0,-0.003200003,0,-0.000345377,-0.00067248,-0.000251349,-0.00028398,0,-0.011428696,0,-0.4
1959/11/1,0.000812825,0.000962974,0.001961165,-0.006245319,-0.010303521,-0.003479946,-0.005757735,-0.005784604,-0.009197989,-0.038793785,0.002258047,-0.012107846,0.001164863,0.005885922,-0.008322373,-0.00232445,0.009766706,0.024717571,48.2,-0.4961,-1,-0.044,-0.00392196,-0.006357405,0.1,0.7,-0.016826623,0.001690617,0.075528842,0.128880858,0.010050336,0.042031886,-0.001176778,-0.003644888,-0.028103849,0.000999833,-0.003432757,-0.00474798,-0.001566662,0.000740319,-0.000448009,0.000632476,0.000446863,0.00315956,0.001185256,0.173553176,0.1,0,0,42.1,-0.04092224,-0.049271049,-0.054067221,-0.034916265,-0.02965621,0.041907001,0.218587735,0.050353886,-0.0615022,0.013986242,43.7,45.7,35.8,41.9,-0.003946125,-0.033547862,-0.034068958,-0.015861631,0.002299265,0.011,0.004288784,0.001294775,-0.003478264,0.004039848,0.001347637,0.005821276,0.005348117,-0.012150818,0,-0.001355085,0.05,-0.025111841,-0.030091207,0.0866,-0.020265378,-0.09,-0.5625,-0.16,-0.03,-0.16,-0.33,-0.25,-0.04,-0.04,-0.0856,-0.93,-0.52,-0.03,0.56,0.67,1.18,1.99,-0.001008827,-0.000347677,-0.005412245,0.00204666,-0.003977771,0.002989539,0.00297177,-0.006482988,0.013072082,0.007927696,0.00608817,49.9,-0.003380207,0.002185793,0,0.00449439,-0.002980628,0.002621233,0.00415801,0.003372684,0,0,0.001350491,0.001386917,0.002352532,0.000553069,0,0.007547206,0,-0.3
1959/12/1,-0.00094836,-0.001878659,-0.000768966,0.00027548,9.25E-05,-0.001164122,-0.002311534,0,0.002308272,0.011063386,0,-0.013381797,-0.004676411,-0.005893539,-0.005271091,-0.004665172,0.003638062,-0.007797025,50.3,-0.677,-1,-0.0515,-0.000212437,0.000132514,0.1,-0.4,0.021419053,0.083415392,0.006493529,-0.007707167,0.024692613,0.080748593,-0.001330992,-0.003396476,0.029276183,-0.009707189,-0.003444581,-0.003103871,-0.003927426,0.000967283,-8.96E-05,0.008628565,-0.00087604,0.00275645,0.003547361,-0.207940918,-0.3,0,-0.2,43.6,0.115831816,0.145454973,-0.078138204,0.195349688,0.166024484,-0.005017572,-0.05153365,0.026433257,0.007434978,-0.006968669,47.6,55.6,38,39.1,0.027072556,0.060177761,-0.001809773,0.007730223,0.002079152,0.002,0.003526531,0.003228674,0.003478264,0.007624149,-0.000104432,-0.002352485,4.02E-05,-0.002418381,-0.1,-0.002734733,0.03,0.011927155,0.011911893,-0.0414,0.016674409,-0.25,0.0389,0,-0.12,-0.25,-0.17,-0.1,-0.13,-0.14,0.2033,-0.68,-0.39,-0.03,0.64,0.82,1.3,2.1,-0.002020713,-0.000695717,-0.001420356,0.000647486,-0.008827813,-0.005979078,-0.005943541,0.003241494,-0.019934215,-0.002981614,0.003072199,50.6,0.004056797,-0.002185793,0,-0.00449439,0.005961256,0,-0.00415801,-0.003372684,0,0.003316753,-0.000357399,-0.000403833,5.82E-05,-0.000803933,0.00445435,-5.65E-05,0.004662013,-0.4
1960/1/1,0.001534989,0.000385654,0.004766145,0.009271081,0.002139763,-0.010516653,-0.008134911,-0.00581826,-0.004618546,-0.012297233,-0.003387597,-0.009018156,-0.016550775,-0.013064665,-0.007078691,-0.010567093,0.008442325,0,50,-1.1318,-1,-0.0116,0.00562947,0.002266581,-0.1,0.7,-0.040320975,-0.059217299,0.057637743,-0.001936109,0.128028474,-0.034174738,-0.001442087,-0.002515593,-0.006612323,-0.004720171,-0.001955035,-0.002445533,-0.001260041,0.000113737,-0.001524869,-0.00569465,-0.000214658,0.002356639,0.002593424,-0.139501349,-0.2,-0.1,-0.3,40.2,-0.203071061,-0.165863844,0.031306905,-0.221058045,-0.441518039,-0.01011131,-0.014528101,-0.044451763,-0.022472856,0.030983546,45.4,50.5,37.3,40.8,-0.001707196,-0.004836012,-0.001913876,0.003748241,0.005179045,-0.005,-0.00852328,-0.004289687,0.003478264,0.004254993,0.0010666,-0.001402246,-0.001820378,0.004836762,0.1,0.003651523,0.07,-0.030544955,-0.033924556,0.107,-0.025609027,-0.38,-0.0172,0.18,0.24,0.12,-0.01,0,-0.03,-0.07,0.5661,-0.12,0.23,0.47,1.01,1.2,1.65,2.41,0.000631912,-0.000858718,0,0.000881388,0.002779925,0.002989539,0.005943541,0,0.026623203,-0.014060417,0,48.4,-0.002028398,0.002181026,-0.006734032,0.00447428,-0.002980628,-0.00526317,0.004140793,0,0,-0.003316753,-0.000922463,-0.005987179,-0.001319699,0.000992453,-1.98E-05,-0.007490672,-2.16E-05,-1.4
1960/2/1,0.002972975,0.003224024,0.004892484,-0.006541574,0.003224076,-0.001177807,0.005818022,0.004659104,0.010362718,0.01107697,0.010128557,-0.007954104,-0.00357835,-0.012034026,-0.006051204,-0.001182135,0.001199588,0.0055755,51.2,-0.39,-2,-0.1228,-0.009628654,-0.005235788,0.6,0.6,0.051710619,0.055324729,0.191276588,0.188439753,0.194408444,0.060059171,-0.002013659,-0.005525021,-0.001623018,-0.00101437,-0.006478868,-0.00928055,-0.002524855,0.000596905,-0.000538745,-0.001744456,0.001001341,-0.000392388,0.000941398,0.399728781,0.3,0.1,0.3,43.7,0.127359239,0.388133652,-0.070951736,0.005194817,0.285477,-0.012270093,-0.04489532,0.053109825,-0.003795071,-0.048620687,46,50.1,36.2,39.7,-0.017743113,-0.075208272,-0.02708254,-0.017263921,-0.003032738,0.004,-0.001418942,-0.00131523,-0.003478264,0.002447311,-0.002151469,-3.83E-05,-0.003209551,-5.83E-06,0.1,-0.002614718,0.01,-0.019901154,-0.018457776,0.0716,-0.021802177,-0.13,-0.141,-0.18,-0.1,-0.03,0.15,0.09,0.05,0.1,0.5551,-0.17,0.26,0.57,1.29,1.42,1.83,2.64,0.001388801,0.000325007,0,-0.000402895,0.006252262,0.008941937,0.005890917,0,-4.44E-05,0.008945466,-0.009273637,45,0.00471699,-4.75E-06,0.006734032,-0.00447428,0.00297177,0.00526317,-0.004140793,0,0.003189795,0.003305788,0.00049325,0.006625913,0.001301937,-0.001446896,-1.96E-05,0.003724399,-0.00464038,-1.3
1960/3/1,-0.004869481,-0.006506831,-0.0035004,-0.006371973,-0.006674586,-0.014216304,-0.010495163,-0.011684186,-0.018499383,-0.033605946,-0.010128557,-0.002282723,-0.026670672,-0.043297497,-0.010526695,-0.019091707,0.003590154,-0.015695445,45.6,-1.7563,0,-0.0136,0.007241513,0.006622979,0,0.4,-0.027556279,0.064197199,0.028194239,0.077198811,-0.0286758,0.031182927,-0.004303537,-0.00810579,-0.016226631,-0.006788892,-0.007843694,-0.011297002,-0.003006569,-0.000824391,-0.003779362,-0.001784719,-0.003885795,0.003525959,0.001645317,-0.333148681,-0.4,-0.3,-0.4,43,0,0.054435207,0.01821544,0.012870191,-0.090026152,0.007175838,0.04489532,-0.0395656,0.040974074,-0.014337163,44.3,48.2,37.6,41.7,-0.011584006,0.004172382,-0.033390853,-0.00867672,0.000321549,0.008,0.002126906,0.000952775,0,0.001075419,-0.000585269,0.001201969,-0.000113331,0.002395155,0.2,-0.000342278,0.08,0.031870829,0.034375956,-0.1139,0.036645124,-0.03,0.0791,0.07,-0.07,0.04,0.05,0.04,0.01,-0.03,0.6642,-0.07,0.22,0.64,1.37,1.49,1.87,2.64,-0.000504796,-0.000208921,0.003227694,0.000687632,-0.001840868,-0.008941937,-0.008862687,-0.003252035,-0.006644543,0.000974301,-0.003226526,46.9,-0.003709095,-0.004352559,0,0.00445435,-8.81E-06,-0.002642009,0.004123717,0,-1.01E-05,-0.003305788,0.002320779,0.006453498,0.001635305,0.001117787,-0.008830036,-0.003724399,-0.00464038,-1.4
1960/4/1,-0.005211295,-0.006598122,-0.012505947,-0.003007162,-0.010907027,-0.019279554,-0.01416862,-0.013010442,-0.007023497,-0.034774696,-0.001130827,-0.023151744,-0.027401534,-0.0479064,-0.002770683,-0.017012756,0.003577311,0.006759662,47.5,-1.5167,-2,-0.0892,-0.005019459,-0.007287696,0.5,-1.5,0.201728449,0.071282372,-0.068525745,-0.135018382,0.007246409,-0.009591778,-0.006623126,-0.01344171,-0.012535088,-0.02552743,-0.010978519,-0.013842239,-0.006997484,0.000909634,-0.00279872,-0.001266106,-0.001957563,0.001172562,0.009466558,-0.936467953,-1,-0.1,-0.9,40.7,-0.158843321,-0.733693275,-0.11462917,-0.105076384,0.144790237,-0.02901758,-0.193111264,0.065098902,0.021661497,-0.048068403,44.3,47.5,40.4,39.3,-0.013827893,0.013924442,0.094374945,-0.00668035,-0.013196646,-0.012,-0.001420455,0.000299876,-0.003478264,0.004438611,-0.004529505,-0.011985696,-0.010051848,0.00473891,0.4,-0.00157687,0.11,0.023693992,0.022333226,-0.0823,0.028157409,-0.46,-0.0076,-0.12,-0.16,-0.22,-0.14,-0.09,0.04,0.02,1.1166,0.27,0.52,0.88,1.69,1.86,2.37,3.12,0.001387575,-0.000417973,-0.001084011,-0.002186489,0.005716051,-0.00297177,-0.005899722,0.003252035,0.003305788,-0.00624257,-0.000158234,46.6,-1.01E-06,0.002176279,0.003372684,-1.98E-05,-8.75E-06,0.005284019,-0.004123717,0.003361348,-1.01E-05,0.003294896,-0.003055243,-0.015985132,-0.002246949,-0.001440528,0.008830036,0.007407441,0.009280759,0.5
